cust_id,company1,city,type
I11111,**** DO NOT SHIP *****,,LOOKUP
17MILE,17 MILE HOUSE PUB,VICTORIA,TOWN
2ROOST,2 ROOSTER FARM,PARKSVILLE,UPISLAND
328TAP,328 TAPHOUSE & GRILL,VICTORIA,TOWN
3RDST,3RD ST CAFE dba,SIDNEY,TOWN
4QUART,4 QUARTERS RESTAURANT,CUMBERLAND,FREIGHT
49THCE,49TH PARALLEL CEDAR #3,NANAIMO,UPISLAND
49THPL5,49TH PARALLEL CHEMAINUS #5 (dba),CHEMAINUS,UPISLAND
49THDU,49TH PARALLEL DUNCAN,DUNCAN,UPISLAND
49THPL,49TH PARALLEL LADYSMITH,LADYSMITH,UPISLAND
AACATE,A.A. CATERING,QUALICUM BEACH,FREIGHT
ACACIA,ACACIA TY MAWR(SGP)51205,SHAWNIGAN LAKE,UPISLAND
ACROPO,ACROPOLIS KUIZINA,CAMPBELL RIVER,FREIGHT
ADRANN,ADRIANA'S ... THE WHOLE ENCHILADA,VICTORIA,TOWN
ADRTEA,ADRIENNE'S TEA GARDEN,VICTORIA,TOWN
AEGEAN,AEGEAN CAFE,VICTORIA,TOWN
AINSL,"AINSLIE, THE dba",DUNCAN,UPISLAND
AIOLI,AIOLI SEAFOOD RESTAURANT,PARKSVILLE,UPISLAND
ALBERN,ALBERNI GOLF CLUB LTD.,PORT ALBERNI,FREIGHT
ALEXAN,ALEXANDER MACKIE LODGE 8107 - 9067,LANGFORD,TOWN
ALIAH,ALIA HALAL MEAT & DELI INC.,VICTORIA,TOWN
HEMMER,ALLAN HEMMERLING,VICTORIA,TOWN
ALYSAS,ALYSA'S PHO & BANH MI dba,VICTORIA,TOWN
AM2PM,AM2PM CONVENIENCE STORE,VICTORIA,TOWN
AMY'SC,AMY'S CATERING,VICTORIA,TOWN
ANCHORIN,ANCHOR INN & SUITES,CAMPBELL RIVE,FREIGHT
APPLET,APPLETREE RESTAURANT,VICTORIA,TOWN
AQUATRO,AQUA TROMOY,GRIMSTAD,NORWAY
ARBFAR,ARBUTUS RIDGE FARMS,DUNCAN,UPISLAND
ARBGOLF,ARBUTUS RIDGE GOLF dba,COBBLE HILL,UPISLAND
ARCHIPEL,ARCHIPELAGOS BISTRO,PORT McNEILL,FREIGHT
ARIGATO,ARIGATO SUSHI dba,SALTSPRING ISLAND,UPISLAND
ARMYNA,ARMY NAVY VETERANS OF CANADA,SIDNEY,TOWN
ARROWOOD,ARROWOOD CATERING,VICTORIA,TOWN
ARROWS,ARROWSMITH GOLF & COUNTRY CLUB,QUALICUM BEACH,FREIGHT
ARTISAN,ARTISAN BISTRO,VICTORIA,TOWN
ARTCAF,ARTISAN CAFE,VICTORIA,TOWN
ASTERA,ASTERAS GREEK TAVERNA,NANAIMO,UPISLAND
ATLASC,ATLAS CAFE,COURTENAY,FREIGHT
AUNTIE,AUNTIE PESTO'S CAFE & DELI,SALT SPRING ISLAND,UPISLAND
AVEBIS,AVENUE BISTRO(2007) INC dba,COMOX,FREIGHT
AYREMA,AYRE MANOR LODGE(CPS)08107 7464,SOOKE,TOWN
AZTECA,AZTECA TACOS AND GRILL dba,VICTORIA,TOWN
BCFERN,B.C. FERRIES - NANAIMO,NANAIMO,UPISLAND
BCFERS,B.C. FERRIES - SWARTZ BAY,SIDNEY,TOWN
BCTEST,B.C. FERRIES TEST KITCHEN,SIDNEY,TOWN
BAKEM,BAKE MY DAY dba,DUNCAN,UPISLAND
BAMBOOI,BAMBOO INN RESTAURANT,COMOX,FREIGHT
BANNER,BANNERS RESTAURANT 2003,CAMPBELL RIVER,FREIGHT
BARBSP,BARB'S PLACE LIMITED,VICTORIA,TOWN
BARTHOL,BARTHOLOMEWS PUB dba,VICTORIA,TOWN
BAYNES,BAYNES SOUND OYSTERS,UNION BAY,FREIGHT
